"",gene_symbol,GSM4781322,GSM4781323,GSM4781324,GSM4781325,GSM4781326,GSM4781327,GSM4781328,GSM4781329
ENSG00000248586,LOC100288510,2,0,0,0,0,2,0,0
ENSG00000248592,STIMATE-MUSTN1,209,265,145,295,194,126,253,138
ENSG00000248593,DSTNP2,174,154,163,137,131,120,136,133
ENSG00000248596,LOC643201,4,30,14,22,11,8,10,15
ENSG00000248599,FLJ42969,10,3,5,5,15,7,3,8
ENSG00000248608,LOC645433,1,0,1,0,0,2,4,0
ENSG00000248610,HSPA8P4,8,7,3,11,11,22,20,13
ENSG00000248611,LOC100422640,0,0,0,0,0,2,0,0
ENSG00000248618,ENPP7P3,0,0,0,0,0,0,0,0
ENSG00000248625,LOC402192,1,0,0,3,0,0,0,0
ENSG00000248633,WRBP1,0,0,0,0,0,0,0,0
ENSG00000248636,LOC105370027,5,0,1,0,0,0,2,0
ENSG00000248642,OR10J2P,0,0,0,0,0,1,0,0
ENSG00000248643,RBM14-RBM4,728,278,565,668,736,557,406,940
ENSG00000248654,MTCO3P44,0,0,4,0,0,0,0,0
ENSG00000248668,OXCT1-AS1,7,22,28,2,14,9,10,0
ENSG00000248671,ALG1L9P,56,71,41,60,35,86,65,49
ENSG00000248672,LY75-CD302,0,0,20,0,8,0,4,16
ENSG00000248673,LINC01331,0,0,0,0,1,0,0,0
ENSG00000248677,LINC02102,19,13,19,11,11,106,15,4
ENSG00000248684,BIN2P2,0,0,0,0,0,0,0,9
ENSG00000248697,TOX4P1,0,2,0,0,0,0,0,0
ENSG00000248698,LINC01085,99,45,54,25,74,33,52,46
ENSG00000248699,LOC391741,0,0,0,0,0,0,0,0
ENSG00000248703,LINC02415,1,0,2,0,0,0,0,0
ENSG00000248704,MTND4P2,1,0,0,0,0,0,0,0
ENSG00000248710,TRIM59-IFT80,0,0,0,52,0,0,0,0
ENSG00000248712,CCDC153,31,51,41,50,55,70,103,48
ENSG00000248713,C4orf54,2,5,9,0,4,12,4,0
ENSG00000248720,RFPL4AP5,0,0,0,0,0,0,0,0
ENSG00000248722,AK3P4,0,0,0,0,0,0,0,0
ENSG00000248724,NPHP3-AS1,2,2,0,7,1,3,5,7
ENSG00000248727,LINC01948,1,1,2,0,0,2,2,0
ENSG00000248729,MTCO1P30,4,10,0,4,7,0,4,3
ENSG00000248730,EGFLAM-AS4,0,0,0,0,0,0,0,0
ENSG00000248735,R3HDM2P1,1,0,0,0,0,0,0,0
ENSG00000248738,LOC101929237,0,0,0,0,0,1,1,0
ENSG00000248746,ACTN3,3,0,0,7,0,4,2,1
ENSG00000248748,MTND5P9,0,0,0,0,0,0,0,0
ENSG00000248757,LINC02115,0,0,0,0,0,0,0,0
ENSG00000248765,MTCYBP37,1,0,1,2,0,0,6,0
ENSG00000248767,FOXL3-OT1,0,0,0,0,0,0,0,0
ENSG00000248771,SMIM31,34,36,22,34,15,58,39,27
ENSG00000248777,LOC100129344,1,0,0,0,0,0,0,0
ENSG00000248781,PSMC1P4,1,0,0,0,0,1,0,0
ENSG00000248789,LINC02118,0,0,0,0,0,0,0,0
ENSG00000248791,LOC100422687,2,6,0,8,1,2,0,0
ENSG00000248792,LINC00266-2P,0,0,0,0,0,0,0,0
ENSG00000248801,C8orf34-AS1,0,0,0,0,0,0,0,0
ENSG00000248809,LINC01095,0,0,0,0,0,0,0,0
ENSG00000248810,LINC02432,21,32,4,18,13,44,29,6
ENSG00000248820,DYNLL1P6,0,0,0,0,0,0,0,0
ENSG00000248822,APOBEC3AP1,0,0,0,0,0,0,0,0
ENSG00000248826,PCBP2P3,0,0,0,0,0,0,0,0
ENSG00000248827,LOC345576,0,0,0,0,0,0,0,0
ENSG00000248831,LOC100421142,0,0,0,0,0,0,0,0
ENSG00000248834,MARK2P5,0,0,2,0,0,0,0,0
ENSG00000248837,LOC105374524,0,1,0,6,0,4,7,0
ENSG00000248838,PGAM1P13,0,0,0,0,0,0,0,0
ENSG00000248843,RPL7AP29,0,0,0,0,0,0,1,0
ENSG00000248844,LINC02753,0,0,0,1,0,2,0,0
ENSG00000248847,LOC100131441,0,0,0,0,0,0,0,0
ENSG00000248848,PPBPP2,0,0,0,0,3,0,0,0
ENSG00000248850,LOC645852,0,0,0,0,0,0,0,0
ENSG00000248851,LOC100421364,0,0,0,0,0,0,0,0
ENSG00000248858,FLJ46284,35,90,27,11,131,41,19,5
